iter	MAE
166	60196.04723
167	60128.61049
168	60072.31941
169	60029.9219
170	59991.02185
171	59894.99205
172	59853.6882
173	59771.05164
174	59729.47703
175	59696.4476
176	59634.06868
177	59597.72243
178	59559.8876
179	59488.14444
180	59431.3597
181	59377.94886
182	59325.25442
183	59241.60152
184	59193.71455
185	59158.4024
186	59075.62711
187	58985.40923
188	58937.46962
189	58889.8453
190	58812.21438
191	58750.65123
192	58717.13152
193	58678.54782
194	58611.04815
195	58552.54151
196	58494.92136
197	58425.354
198	58381.97441
199	58340.87918
200	58301.40986
201	58267.73669
202	58197.95414
203	58155.77378
204	58088.95685
205	58057.09985
206	58021.60757
207	57988.62631
208	57937.90991
209	57875.54752
210	57823.52696
211	57772.9331
212	57724.98675
213	57689.5112
214	57621.24645
215	57581.33467
216	57553.24831
217	57518.26946
218	57484.44564
219	57428.61283
220	57383.92844
221	57333.43775
222	57275.79816
223	57223.16757
224	57176.04379
225	57142.31457
226	57081.61159
227	57044.12865
228	56985.84093
229	56945.12213
230	56914.03948
231	56873.24589
232	56841.52567
233	56792.11751
234	56765.87894
235	56727.94916
236	56673.21214
237	56651.19298
238	56607.02329
239	56581.38828
240	56532.98949
241	56497.97425
242	56474.24908
243	56422.83517
244	56378.08961
245	56352.68979
246	56330.6991
247	56273.8132
248	56239.41797
249	56213.04786
250	56174.83348
251	56152.32131
252	56118.76107
253	56072.74182
254	56021.12239
255	55995.73903
256	55957.79336
257	55914.58805
258	55893.9573
259	55844.80873
260	55815.03998
261	55793.78706
262	55747.32492
263	55711.90724
264	55676.52539
265	55645.94696
266	55610.01723
267	55590.73887
268	55552.1673
269	55514.18348
270	55466.72348
271	55450.10367
272	55393.29489
273	55358.04425
274	55329.24533
275	55274.73469
276	55256.7868
277	55234.40954
278	55210.8831
279	55187.72615
280	55152.96646
281	55114.43177
282	55080.20291
283	55049.52963
284	55013.34896
285	54964.89187
286	54920.80928
287	54883.43905
288	54847.60865
289	54826.84696
290	54796.33112
291	54771.82237
292	54741.68212
293	54698.01796
294	54670.04746
295	54641.69366
296	54613.07256
297	54574.48806
298	54555.94054
299	54533.88361
300	54505.99007
301	54484.09596
302	54443.72942
303	54410.47715
304	54383.95426
305	54353.03045
306	54321.68056
307	54304.60661
308	54277.15096
309	54251.50078
310	54220.75953
311	54174.04149
312	54137.21101
313	54124.87225
314	54088.81623
315	54050.06828
316	54021.1077
317	53991.58184
318	53971.40803
319	53929.4937
320	53900.83709
321	53851.3102
322	53822.2295
323	53804.05317
324	53770.31211
325	53743.96047
326	53725.20955
327	53698.74608
328	53675.73236
329	53670.55005
330	53654.44898
331	53631.61665
332	53606.63878
333	53589.89252
334	53571.66285
335	53549.07074
336	53515.12215
337	53493.89513
338	53461.20411
339	53433.13945
340	53386.17412
341	53352.12172
342	53334.99588
343	53297.64848
344	53273.08217
345	53248.59614
346	53233.63879
347	53193.81683
348	53175.87508
349	53151.11949
350	53129.53443
351	53117.70619
352	53099.14844
353	53083.97356
354	53060.70129
355	53028.07661
356	52993.75026
357	52985.26976
358	52965.9063
359	52942.23746
360	52909.14193
361	52895.48532
362	52884.82576
363	52852.93871
364	52826.59204
365	52802.94564
366	52767.13953
367	52740.34067
368	52725.50148
369	52691.15417
370	52668.51101
371	52642.60682
372	52609.43688
373	52597.434
374	52573.49214
375	52553.27076
376	52535.22625
377	52514.69647
378	52493.08604
379	52472.46664
380	52455.51588
381	52433.18076
382	52409.94606
383	52391.17826
384	52357.7378
385	52344.03794
386	52324.89702
387	52309.4145
388	52290.59043
389	52263.8211
390	52236.88339
391	52203.06016
392	52187.60233
393	52170.38018
394	52159.40742
395	52132.84974
396	52110.99873
397	52092.2811
398	52080.42189
399	52056.4072
400	52038.02577
401	52006.14202
402	51983.69002
403	51960.15653
404	51930.49144
405	51907.34841
406	51882.8175
407	51871.07637
408	51840.80669
409	51812.34056
410	51797.58579
411	51773.41465
412	51728.17072
413	51704.91188
414	51692.80582
415	51670.27188
416	51659.90935
417	51621.41756
418	51583.03848
419	51558.31082
420	51550.21663
421	51533.31119
422	51512.10396
423	51493.81487
424	51490.05363
425	51465.52104
426	51450.79187
427	51429.19993
428	51408.60164
429	51375.09843
430	51356.30569
431	51338.88755
432	51328.11581
433	51313.47385
434	51292.1741
435	51270.59274
436	51248.24107
437	51236.82585
438	51210.27536
439	51199.33066
440	51175.25973
441	51153.07526
442	51138.53897
443	51127.16557
444	51113.66554
445	51091.60337
446	51067.17898
447	51047.98186
448	51028.48703
449	51004.14473
450	50995.1849
451	50973.55852
452	50948.06358
453	50927.06991
454	50914.52078
455	50900.8463
456	50887.59432
457	50860.57048
458	50845.38449
459	50835.23337
460	50806.08039
461	50773.58511
462	50751.06939
463	50737.87651
464	50722.69131
465	50702.43856
466	50682.43742
467	50662.17457
468	50641.74361
469	50620.54389
470	50600.88534
471	50588.37854
472	50551.32079
473	50539.35654
474	50528.12793
475	50517.92653
476	50489.86071
477	50472.53758
478	50454.48101
479	50436.51204
480	50413.92288
481	50389.5716
482	50378.48856
483	50359.05983
484	50338.02031
485	50337.08269
486	50320.4429
487	50310.34017
488	50295.93137
489	50274.58732
490	50261.75528
491	50248.25252
492	50229.03107
493	50213.68375
494	50205.7308
495	50188.77235
496	50167.06354
497	50151.90409
498	50141.13738
499	50108.2929
500	50095.50818
501	50081.39196
502	50074.72008
503	50054.70478
504	50033.38693
505	50017.89097
506	50006.30957
507	49980.50576
508	49961.97804
509	49947.03616
510	49933.14344
511	49911.63269
512	49901.38716
513	49875.33783
514	49865.50002
515	49844.2004
516	49830.01161
517	49818.2268
518	49808.34184
519	49788.2644
520	49765.01445
521	49741.19224
522	49728.28974
523	49720.44127
524	49709.45978
525	49693.38231
526	49678.47255
527	49662.60018
528	49641.28799
529	49626.20828
530	49610.29123
531	49589.43938
532	49578.89795
533	49566.75185
534	49550.59151
535	49530.79827
536	49524.83401
537	49509.85638
538	49474.41487
539	49464.90419
540	49450.19468
541	49440.54882
542	49427.25169
543	49415.04303
544	49392.54357
545	49374.84735
546	49363.51575
547	49335.18397
548	49315.20076
549	49292.15143
550	49277.16506
551	49265.7465
552	49256.43578
553	49240.66345
554	49230.42678
555	49222.21035
556	49204.56909
557	49183.42761
558	49177.19195
559	49162.76973
560	49161.63688
561	49148.93185
562	49133.7098
563	49118.52863
564	49104.56141
565	49097.53727
566	49092.20432
567	49081.08459
568	49061.31688
569	49045.30079
570	49032.5165
571	49022.01246
572	49008.58768
573	48996.12109
574	48986.83883
575	48972.26448
576	48967.49316
577	48954.8025
578	48942.27935
579	48934.16676
580	48919.99086
581	48909.9456
582	48889.90228
583	48879.2949
584	48862.30203
585	48843.68418
586	48826.35411
587	48812.2087
588	48796.15457
589	48792.77495
590	48778.60533
591	48764.33432
592	48745.9745
593	48734.53948
594	48720.61547
595	48712.66372
596	48692.65759
597	48676.07407
598	48659.56164
599	48652.84101
600	48644.55495
601	48632.70155
602	48620.91196
603	48617.98148
604	48607.14107
605	48576.24384
606	48566.11636
607	48556.28838
608	48551.55621
609	48545.99017
610	48538.92657
611	48526.7233
612	48513.32563
613	48505.02219
614	48483.04572
615	48457.86328
616	48451.61121
617	48444.81255
618	48434.21117
619	48416.40513
620	48404.37197
621	48400.47704
622	48388.86643
623	48378.46616
624	48370.74422
625	48363.38772
626	48352.51747
627	48338.82889
628	48331.22928
629	48328.05007
630	48307.85599
631	48291.11161
632	48272.47303
633	48261.88152
634	48236.93421
635	48225.10455
636	48216.00416
637	48207.84567
638	48183.31911
639	48166.82268
640	48147.04194
641	48131.40391
642	48118.04847
643	48109.72623
644	48105.16875
645	48101.536
646	48087.55394
647	48077.73948
648	48056.74404
649	48047.12814
650	48030.6266
651	48017.02895
652	48001.86348
653	47997.08932
654	47995.338
655	47987.34478
656	47976.49371
657	47962.38507
658	47951.81435
659	47939.65702
660	47930.24756
661	47921.42125
662	47899.94692
663	47889.34423
664	47881.6607
665	47873.55093
666	47856.87936
667	47847.62787
668	47838.30393
669	47828.95062
670	47804.73032
671	47799.96418
672	47784.75578
673	47783.7033
674	47771.96408
675	47754.5617
676	47744.78363
677	47740.00941
678	47726.25116
679	47710.36709
680	47689.56384
681	47676.65028
682	47659.54249
683	47651.79138
684	47628.15202
685	47620.15622
686	47605.02169
687	47595.31784
688	47588.47601
689	47578.50597
690	47568.44946
691	47549.36523
692	47533.02056
693	47526.80853
694	47515.36575
695	47502.71787
696	47499.90906
697	47483.86432
698	47477.90904
699	47452.50547
700	47449.73475
701	47434.11262
702	47428.11327
703	47415.75429
704	47403.06288
705	47390.16975
706	47378.56868
707	47369.47558
708	47357.81844
709	47349.72607
710	47333.61595
711	47324.22641
712	47306.65511
713	47301.03333
714	47280.74617
715	47258.46788
716	47242.13267
717	47232.76425
718	47217.78631
719	47201.37607
720	47193.42788
721	47170.21523
722	47162.78763
723	47153.26793
724	47142.89657
725	47135.7205
726	47118.62518
727	47112.0032
728	47099.08391
729	47093.31676
730	47075.48927
731	47068.37062
732	47056.2771
733	47045.5219
734	47036.27803
735	47024.46146
736	47012.89084
737	47003.59747
738	46996.99608
739	46986.10142
740	46970.63344
741	46963.93795
742	46956.04752
743	46946.06099
744	46936.77994
745	46924.53053
746	46916.46991
747	46907.8427
748	46882.28917
749	46873.02741
750	46866.53081
751	46849.94562
752	46846.63111
753	46838.84629
754	46831.75662
755	46823.55251
756	46814.63764
757	46798.43281
758	46785.60238
759	46776.96169
760	46773.88582
761	46768.89625
762	46757.81531
763	46739.47114
764	46724.22825
765	46716.94937
766	46706.39449
767	46697.25019
768	46683.19202
769	46677.57288
770	46662.8343
771	46657.11109
772	46646.43914
773	46636.82455
774	46630.19546
775	46621.909
776	46614.30366
777	46607.79116
778	46602.06579
779	46593.88271
780	46583.89947
781	46571.97763
782	46559.75422
783	46552.75
784	46542.53871
785	46523.37426
786	46510.53957
787	46503.64759
788	46496.36906
789	46485.05869
790	46472.49552
791	46460.99002
792	46436.73949
793	46425.43239
794	46415.87418
795	46405.10547
796	46396.74651
797	46389.94459
798	46379.91284
799	46369.51988
800	46352.48435
801	46340.86873
802	46321.99194
803	46302.46588
804	46289.68538
805	46280.83975
806	46273.35767
807	46272.58786
808	46259.27828
809	46244.46897
810	46236.73399
811	46224.09177
812	46212.54529
813	46203.67499
814	46194.11374
815	46183.8926
816	46178.40552
817	46166.32758
818	46158.49579
819	46151.06439
820	46138.81375
821	46114.88574
822	46108.28364
823	46101.6731
824	46092.49373
825	46088.08471
826	46074.0396
827	46067.92404
828	46055.96865
829	46045.91444
830	46034.8238
831	46028.94608
832	46021.59351
833	46015.45882
834	46009.21863
835	46000.12724
836	45988.797
837	45985.8234
838	45972.153
839	45959.26329
840	45955.57093
841	45941.01243
842	45934.79399
843	45929.22899
844	45920.30466
845	45912.22511
846	45907.37993
847	45901.26821
848	45893.11722
849	45885.90384
850	45877.13532
851	45870.02739
852	45858.17527
853	45851.50056
854	45842.13385
855	45830.07714
856	45819.95358
857	45812.27871
858	45805.31277
859	45792.77824
860	45785.43326
861	45779.17215
862	45769.03394
863	45762.2302
864	45757.06198
865	45751.48844
866	45743.88203
867	45738.66395
868	45731.63808
869	45726.9796
870	45717.85271
871	45712.23787
872	45704.57736
873	45682.00184
874	45676.74393
875	45671.36467
876	45666.74425
877	45660.6041
878	45656.38247
879	45653.81239
880	45649.05735
881	45644.79861
882	45637.80703
883	45624.18358
884	45616.60677
885	45601.40747
886	45591.34481
887	45576.27556
888	45560.04116
889	45556.44386
890	45543.42063
891	45539.69983
892	45529.75872
893	45521.79526
894	45517.65553
895	45509.51286
896	45497.07555
897	45485.52804
898	45479.64528
899	45470.5424
900	45465.40555
901	45457.66735
902	45454.14228
903	45448.93625
904	45440.88977
905	45428.54901
906	45422.91362
907	45414.64877
908	45409.18547
909	45398.47814
910	45395.30056
911	45391.20202
912	45382.82153
913	45376.48343
914	45372.74931
915	45364.74742
916	45357.8771
917	45349.47109
918	45340.44648
919	45335.93082
920	45325.64992
921	45318.83686
922	45311.90488
923	45287.03817
924	45271.87468
925	45261.16428
926	45253.77843
927	45238.98966
928	45229.19928
929	45220.51437
930	45205.83437
931	45203.2074
932	45193.14149
933	45184.10278
934	45168.77034
935	45167.0427
936	45161.72589
937	45156.93396
938	45145.59159
939	45134.40308
940	45127.86359
941	45126.17104
942	45120.29551
943	45108.83284
944	45103.74496
945	45098.77641
946	45083.70222
947	45081.08227
948	45077.99926
949	45069.14712
950	45066.9382
951	45050.31655
952	45042.91356
953	45036.67847
954	45034.08345
955	45031.81014
956	45026.80964
957	45020.66505
958	45014.3705
959	44993.29097
960	44982.78887
961	44977.81508
962	44969.5929
963	44964.56815
964	44961.71804
965	44951.44499
966	44944.91023
967	44939.45678
968	44939.08173
969	44922.99214
970	44910.24083
971	44905.54829
972	44893.6087
973	44891.20209
974	44888.32995
975	44880.14364
976	44874.12897
977	44864.14539
978	44854.06336
979	44839.85389
980	44831.70718
981	44824.78199
982	44818.89536
983	44801.33297
984	44789.61784
985	44775.96757
986	44763.89116
987	44759.56595
988	44744.28201
989	44736.62938
990	44730.54363
991	44710.11263
992	44703.99636
993	44698.52845
994	44693.58318
995	44689.85168
996	44682.51517
997	44679.55367
998	44669.69637
999	44658.37777
